"churn","p_o_1","u_1_1","u_1_2","u_1_3","u_1_4","u_1_5","u_1_6","u_1_7","u_1_8","u_1_9","u_1_10","u_1_11","u_1_12","u_1_13","u_1_14","u_1_15","u_1_16","u_1_17","u_1_18","u_1_19","u_1_20","p_1"
0,0.609239093677175,0.706298148368565,0.789319137135689,0.791446592856551,0.82364548902764,0.77731717184444,0.803523594905013,0.782928451357987,0.768433176002357,0.844299498329238,0.762534714937208,0.774746632015023,0.752223826616697,0.837458740330339,0.790844907291383,0.818982187042851,0.799469093016566,0.825913721448068,0.762371692238173,0.878628760032137,0.757189447142256,0.792378749096909
0,0.0466870551335492,0.139009294356648,0.141155001867269,0.136761249766469,0.144233384543632,0.136191747536865,0.117828063977469,0.117138524967862,0.0773456578138514,0.150114444892878,0.0914094447647334,0.0908220099133283,0.132532118318016,0.108598623210561,0.116004188987173,0.119111306232507,0.136972672783567,0.0913999853665116,0.154986297662018,0.086878725599229,0.140298391758096,0.121439556715934
1,0.301082030675836,0.550077739779132,0.542842861104293,0.561620184379046,0.600307812794842,0.503193445946882,0.532447039637042,0.588324712890486,0.516829162044007,0.562456948482987,0.519229454185044,0.522804466462126,0.5576983040211,0.550171319044343,0.506024144237009,0.555181985371527,0.547901375512466,0.528486772247718,0.576569931430125,0.544420419089523,0.459478741803037,0.541303341023137
1,0.793102801106051,0.9125992018688,0.90569613301556,0.906133219869317,0.891523357942259,0.878783078932064,0.910174085861017,0.895284331761001,0.903083016317508,0.916087259745267,0.922823567248729,0.904223713566438,0.880809260972673,0.898473919898982,0.909190827590642,0.885930217465402,0.91058675785384,0.904773485399144,0.883717691377037,0.90376085965586,0.897157064135846,0.901040552523869
1,0.620659790466606,0.821180235189041,0.832331396954666,0.820770180085434,0.791472483677887,0.803568696976985,0.816785896933185,0.794505760278668,0.80700745339463,0.798876702067533,0.864727266528045,0.830259367820494,0.770895057920126,0.779083090444681,0.825041178649452,0.805871662454383,0.79780857367139,0.805059330545613,0.734586577168359,0.838976396246563,0.806824993130671,0.80728161500689
0,0.00959481490681618,0.0351514804959784,0.0287167654377495,0.0291060488666851,0.0321165900445311,0.0343415524549674,0.0327537432092441,0.0333411804823457,0.0298030649776131,0.0339331489878358,0.0246907065254586,0.028329018105145,0.0438587539593467,0.0306375749814944,0.0300491958794895,0.0322961510933125,0.0344841251787845,0.0307280671586591,0.0462121802175665,0.0238843139321145,0.0378606058726774,0.0326147133930499
0,0.237471675788419,0.475542892347791,0.443577904208447,0.44890477385763,0.49558875898472,0.492317606756972,0.447584293165856,0.470091726109099,0.413525235694815,0.445326913883534,0.432244277963574,0.45654287840627,0.480303197790425,0.411288901678342,0.403957941406787,0.51268514958803,0.441879421351816,0.467803034186702,0.475602566978012,0.447001277158262,0.417982170060451,0.453987546078877
0,0.0264421810064159,0.0712086984195433,0.0734192404935482,0.073477645120788,0.0782333916136852,0.0638157743808985,0.0581570332608816,0.0708729295185635,0.0764797180793276,0.0635730259312792,0.0549501401426289,0.0566485990009423,0.0650145713031841,0.085080418498351,0.0607736917487289,0.0705419957489924,0.0719028503617631,0.066478813889712,0.0865575505363763,0.0571367363536871,0.0650519857981339,0.0684687405100508
0,0.186168299307949,0.381500780277182,0.478469211388507,0.368508580150629,0.366061082670073,0.409450686209278,0.374750706566721,0.365167342724398,0.429623859160116,0.381015262096778,0.361160554964805,0.344958302805584,0.394646530470942,0.374590815648554,0.37746883713123,0.371339241938835,0.362397416219848,0.493615058965209,0.429778120066733,0.415358365650061,0.478694929284092,0.397927784219479
1,0.401166223950444,0.676726981337522,0.674784619623485,0.651049996910132,0.606323340856858,0.589165196817294,0.671577842195772,0.647268320658205,0.703638773851849,0.654588347123075,0.688013073966582,0.667273398273311,0.66807531856489,0.649541906076766,0.656767329204292,0.582762376049226,0.653108270233987,0.691389979907285,0.679195237145251,0.690646704275646,0.657218783672498,0.657955789837196
0,0.0357584030617,0.078057167593795,0.0824729556285093,0.0815978437390647,0.0695549767787718,0.0789524273538694,0.0946265577693332,0.0964431658921035,0.135807931698518,0.0776844718039262,0.100492724183664,0.0978767151379945,0.0853442499448865,0.0751875536446866,0.101984533071413,0.103688686794305,0.0796261284768367,0.0948097882254257,0.0807316911551328,0.0941236245799509,0.0997117997154943,0.090438749659384
0,0.0108295946706844,0.0439431347700806,0.0392192005488902,0.0401005507012681,0.0371644375553687,0.0377876834109095,0.0354470734419988,0.0331876263973722,0.0291335383643697,0.0356521900964558,0.0364726237871759,0.0358497806636729,0.0366107614650544,0.0407595604613872,0.0372836421223196,0.0312380918388271,0.0404836109779597,0.0274216753579858,0.0440307825553604,0.0232266252297729,0.0449209312148875,0.0364966760480559
0,0.509093833020891,0.750033171332636,0.736157714702545,0.750717801136216,0.721737474183466,0.700810056577364,0.792916972468854,0.721419096535805,0.714907390445366,0.743605121530423,0.719858248028073,0.759977389984267,0.70002173741646,0.717078439268421,0.727875916002887,0.710884371167494,0.78056004713435,0.722678697714073,0.731828648439494,0.757689653037205,0.692816063411138,0.732678700525827
