"churn","p_o_1","u_1_1","u_1_2","u_1_3","u_1_4","u_1_5","u_1_6","u_1_7","u_1_8","u_1_9","u_1_10","u_1_11","u_1_12","u_1_13","u_1_14","u_1_15","u_1_16","u_1_17","u_1_18","u_1_19","u_1_20","p_1"
0,0.0488587008488665,0.121339055460896,0.125813795935465,0.139387048999577,0.132087616354817,0.0986110653597086,0.116752968582966,0.10432283036651,0.0971324657463797,0.113941857224222,0.12205901780521,0.100778726585773,0.109478794635623,0.126116929235015,0.117701787785543,0.135275107771913,0.11924751232048,0.095352950509545,0.111623531949098,0.0996319163277496,0.111865103337601,0.114926004114705
0,0.095104949297039,0.199391532439013,0.225128980339665,0.22513407295669,0.210858424388207,0.185830577247464,0.236445995207618,0.246307080323705,0.248319875455388,0.256667595368484,0.231641160259351,0.231698418897542,0.215278325993098,0.240110535154291,0.232929469507254,0.237683187472401,0.2339039493828,0.214474347726593,0.210200656936756,0.251945449219687,0.219309462605711,0.227662954844086
1,0.408383528147178,0.705828360710444,0.651358575334651,0.670671831734347,0.716649299367367,0.653342054074471,0.693450699543296,0.588630630407481,0.681740218258672,0.691587571199918,0.647320078776345,0.744470347694071,0.676769869724898,0.65565275614764,0.698181001812841,0.656594549721931,0.686148501806424,0.642208070235067,0.702153984216115,0.703248475414848,0.682620509687597,0.677431369293421
0,0.00584989968265039,0.0175458435200592,0.0143840567431459,0.0185108537865381,0.0162352022226695,0.0136943029402636,0.0192791682332184,0.0168761090464914,0.0157092368461841,0.0186388485587154,0.0151467457389874,0.0102709657221737,0.0177549582277828,0.0139474080696653,0.0155660811245557,0.0187869763292179,0.0161545402049689,0.0180214180692536,0.0125353819046881,0.0155502885309115,0.014471288978046,0.0159539837398768
0,0.15273212342742,0.314060164386571,0.343202328269459,0.314545904717711,0.316066316833111,0.312343865780817,0.316658264284343,0.32706001192657,0.300070940573473,0.35554445575865,0.336326138805865,0.365712814425034,0.323032942556331,0.307326909324303,0.341782238964839,0.317035946993735,0.329932862220543,0.312773710032899,0.324635777776529,0.310008921816436,0.321280120869267,0.324470031815824
1,0.0529102099456941,0.16929807124028,0.141293161897803,0.11825606410113,0.169873087985199,0.160178868345687,0.206705120104432,0.113254984534941,0.131105305754649,0.186630722270195,0.188566788430185,0.153671363876169,0.133709333568394,0.126507690037297,0.137544212049872,0.133325083114086,0.13476800815872,0.143791165277321,0.174962243461983,0.146434810260921,0.180986384079553,0.152543123427441
1,0.749177901588193,0.864082503047457,0.900574698096918,0.894878534472176,0.878901170995874,0.919638003736277,0.881916493421456,0.879090521700295,0.887867288195866,0.872501577977626,0.895192229889378,0.864186945585494,0.896600658628992,0.885593971067869,0.868911080624568,0.850166343009772,0.889227094087216,0.881825963067179,0.864094637722814,0.880625048381091,0.896627154193687,0.8826250958951
0,0.314742799644809,0.538719787852937,0.591707589620548,0.488537097973037,0.522450830421581,0.585769852385734,0.511969151255733,0.565304160590489,0.578424562364601,0.552685691194956,0.504126204628824,0.551461250487002,0.519795141323855,0.609872631766052,0.545615227148868,0.545165842775531,0.591893263873585,0.535547031223443,0.537814149993315,0.529597669986383,0.530672406826423,0.546856477184645
1,0.441573027749407,0.69513934344817,0.68619447591966,0.632429450360738,0.716595221169623,0.675178862998649,0.686167496598573,0.706494186395065,0.691959935619417,0.686252724711604,0.663272624919057,0.683545649933489,0.7015960709717,0.67832925094566,0.626744369411066,0.642159866929785,0.691506577756175,0.715449603239917,0.665463719453195,0.705351468417032,0.658384128944637,0.680410751407161
0,0.0490361249861504,0.112836683344661,0.120011926407567,0.123667864490645,0.108571526159941,0.121432287491508,0.116593752392189,0.140673721694024,0.107002339376797,0.130542555482942,0.140152131440206,0.14772044875233,0.111638729314871,0.112044699306482,0.132025714778953,0.146837768767296,0.116251261418094,0.133934078061758,0.130630588071249,0.109368961381898,0.148173961763627,0.125505549994852
