"churn","p_1"
0,0.861736115215819
0,0.133948374099097
1,0.490262347030875
1,0.919968609889145
1,0.850452006197186
0,0.027661203681268
0,0.448944511310798
0,0.0654257333081608
0,0.465095790435073
1,0.637565935134619
0,0.0791620637174204
0,0.0579380187535914
0,0.764164351907569
1,0.896695785325079
0,0.236426155659458
1,0.449153457367478
1,0.698298575590517
0,0.891164637827921
0,0.415699593281338
0,0.647051317339813
0,0.0473672468640573
1,0.794444121137384
1,0.753703666943046
0,0.307011270990797
0,0.0331328774226005
0,0.555426366045933
0,0.730920921702874
0,0.0657992302420914
0,0.713304793622952
0,0.505272251648009
1,0.815759509489322
0,0.0699558328025022
0,0.049571558527535
0,0.153663594934232
0,0.84420597400006
1,0.908325329810372
0,0.415269467878558
0,0.131229728032758
0,0.076395010010598
0,0.0169972718348388
0,0.435617975609442
0,0.812448409860227
1,0.815863227069628
0,0.557050817509774
0,0.0381934604069799
0,0.815863241025572
0,0.288095544207601
0,0.0235847867319123
0,0.685681784000219
0,0.405809293065268
0,0.723065645685411
0,0.0557971329255784
0,0.456911457057678
0,0.183971281657908
0,0.015957491230117
1,0.87183245733303
0,0.448669409075952
0,0.758171688722774
0,0.571402436533166
0,0.00588117500250636
1,0.489824408351982
0,0.0557562617817622
1,0.789084241220992
0,0.110362125334149
0,0.406091799903064
1,0.84505658417319
0,0.156931505550028
1,0.80279314391169
0,0.453029235782628
0,0.0160620669833524
1,0.664950084923808
1,0.887322585527216
0,0.0436338761582071
0,0.297507877842087
0,0.12307824466971
0,0.139633836002653
1,0.872194136639703
0,0.452258131961895
0,0.803174060141599
0,0.139557076535901
0,0.137202424095233
0,0.111861006241714
0,0.390462961168651
0,0.84811793834845
0,0.0121913841321404
1,0.490777987380563
0,0.193300162539246
1,0.915380326221359
1,0.576652196883419
0,0.349724984296942
1,0.679928178247533
0,0.0388883825525358
1,0.745147647091781
0,0.277235234931704
0,0.128585530888085
1,0.829568261822086
0,0.110733178724863
0,0.0791533380406896
0,0.513539648815414
0,0.520224354607996
0,0.14978084052388
0,0.666129972911679
0,0.382109304906538
0,0.268961521175122
1,0.846103695375903
0,0.262908025048542
0,0.842460363740632
0,0.00900740815277028
0,0.152631789145212
0,0.460098289591983
0,0.0316937603767684
0,0.0526268314686082
0,0.820274308449983
0,0.355478165495373
1,0.554998488358809
0,0.273185614963205
0,0.607029926054335
0,0.0688992977481373
0,0.251921708856494
0,0.00818221690205228
0,0.826272822079646
0,0.187598144835704
0,0.300889285933624
1,0.587774487990825
1,0.808776313519734
0,0.17140975709552
0,0.0953850488252359
1,0.735440852725066
0,0.765193101847156
0,0.121670845348631
0,0.405468039565443
0,0.053340940387032
1,0.76123273154601
0,0.784629296376776
1,0.754338282238901
1,0.735365102319434
1,0.788899507879822
0,0.511865278334368
0,0.776610812975923
0,0.560907393948402
1,0.77650610683007
0,0.567864655615217
0,0.618653300526128
1,0.827578656625678
1,0.539595226542599
0,0.227592479080804
0,0.403308594276644
0,0.0854027399414746
0,0.869027690445793
1,0.701286801376112
1,0.941037940658474
0,0.769128043638778
0,0.0510156286251634
0,0.43714362241235
0,0.023787509971005
1,0.774101965333857
0,0.128069578242441
0,0.892006893239163
1,0.831134041324135
0,0.00775193369888578
0,0.0781977972319858
0,0.711387982156289
0,0.356531461345974
0,0.850561063225122
0,0.0561487693673433
0,0.339928778238846
1,0.0816727798244759
1,0.422758885539181
0,0.0637045601096724
0,0.683680561462709
0,0.260404031357377
0,0.120144990697007
0,0.908793704011371
0,0.256044107061554
0,0.261008768131778
0,0.921358980604287
1,0.735703892352872
1,0.835257129313507
0,0.657618999808754
0,0.213250159007671
1,0.487364496222715
0,0.514182127178139
0,0.0969458996886366
0,0.03527206845367
0,0.532447304067312
0,0.781141532538996
0,0.0401807447871583
0,0.239950883111716
1,0.626335933566641
0,0.679926603374062
0,0.596728550090327
0,0.332842766116636
0,0.885259618881824
0,0.0426777856220331
1,0.501206565622273
0,0.168444838396247
0,0.115267042846828
0,0.0463444057768913
0,0.0838038534790654
0,0.00760734458337268
0,0.248670661332645
