"churn","p_1"
0,0.839220397991606
0,0.300457721838375
0,0.466176490919032
0,0.403466300562653
0,0.780265788595803
0,0.0123571545911839
0,0.0209639421144272
0,0.0841754265646948
0,0.864735286267638
0,0.162131167356563
0,0.33901832648459
0,0.127319803744454
0,0.097666563771469
0,0.247442620565899
0,0.200727360986471
0,0.354273407572931
0,0.00867048275283515
0,0.142301896490883
0,0.528959084021088
0,0.324421337292325
0,0.35376065743071
0,0.104773796198603
0,0.445453552516567
0,0.724427830188518
0,0.350793264248981
0,0.0192052584013092
0,0.251452035051376
0,0.428306443079637
0,0.808931502196375
0,0.581220153718595
0,0.588571227960961
0,0.0174469263271655
0,0.129468953664677
0,0.144004809958164
0,0.14452089967731
0,0.108235145074113
0,0.385511374756706
0,0.00893671248223465
0,0.494484434285575
0,0.380591824058738
0,0.0274854471718973
0,0.160320800631949
0,0.801307878732069
0,0.236665986160866
0,0.281777701433997
0,0.119346826953903
0,0.163944218157746
0,0.130321861359121
0,0.801307878732069
0,0.773063702085589
0,0.482258598755223
0,0.687162008559518
0,0.288408039624751
0,0.0959792466574007
0,0.216657055117348
0,0.0163617432274293
0,0.092111255800461
0,0.0120683247725734
0,0.0500122310124222
0,0.0484311622636538
0,0.0660511639235376
0,0.391973725585343
0,0.111888972517883
0,0.0731815981417852
0,0.0338391631524704
0,0.385512981705165
0,0.108392837182064
0,0.32885376524215
0,0.021806291296742
0,0.111180167605755
0,0.831017751565261
0,0.557593953895589
0,0.0918101907546184
0,0.246658952445017
0,0.553878898292162
0,0.509174583029006
0,0.181921850888636
0,0.408092697081072
0,0.243975899708514
0,0.00952450571344227
0,0.13520799186816
0,0.373283556642634
0,0.245060728766883
0,0.385254513083698
0,0.141348982586657
0,0.043157729577393
0,0.130321861359121
0,0.300470540188885
0,0.162374318249467
0,0.114087267370005
0,0.135702063187097
0,0.00663111121381153
0,0.527222795730843
0,0.646679644311626
0,0.0703708844449255
0,0.528274798589809
0,0.356099393169297
0,0.034461809189432
0,0.27714576662124
0,0.661411327722973
0,0.136993137335739
0,0.0399970851705072
0,0.307915508953359
0,0.390563136075468
0,0.853254789075066
0,0.731817105255703
0,0.206566233208074
0,0.238114597140161
0,0.0870690890638067
0,0.853295756863076
0,0.369883777477507
0,0.182999927233107
0,0.452274676032436
0,0.0349818746690742
0,0.635018084344828
0,0.0229889172805184
0,0.444013982599954
0,0.272856594807872
0,0.523439056390304
0,0.0169474255502605
0,0.442674218089306
0,0.350793264248981
0,0.011558346741192
0,0.84658843298503
0,0.0914055093507629
0,0.0506256696938252
0,0.0665087312356999
0,0.449899318762221
0,0.305586928533867
0,0.445453552516567
0,0.240055775097418
0,0.287178254272212
0,0.643812409746713
0,0.444279940556625
0,0.34132452483855
0,0.0930768372402831
0,0.495915320726466
0,0.192312662664115
0,0.527222795730843
0,0.58813286503207
0,0.174675943517366
0,0.254921475848216
0,0.488191025292121
0,0.069335225918669
0,0.0100033902412114
0,0.481135783817934
0,0.0348134843670748
0,0.203900537423611
0,0.0909205656880993
0,0.00893671248223465
0,0.0144792194724062
0,0.656995588235897
